ID_sportsman,Name,Sex,Sport
248,Rda Abdenouz,M,Athletics
249,Mouni Abderrahim,F,Volleyball
381,Benaissa Abed,M,Boxing
425,Salim Abes,M,Handball
491,Kamel Aboud,M,Boxing
493,Rabah Aboud,M,Athletics
685,Dallal Merwa Achour,F,Volleyball
871,Berkane Lakhdar Adda,M,Judo
873,Mehdi Addadi,M,Swimming
983,Sad Admane,M,Wrestling
1152,Khoudir Aggoune,M,Athletics
1468,Mohamed Al-Aich,M,Rowing
1476,Mehdi Aidet,M,Athletics
1514,Tassadit Assou,F,Volleyball
1516,Rachid Ait Atmane,M,Football
1518,Kamel Ait Daoud,M,Rowing
1523,Makhlouf Ait Hocine,M,Handball
1527,Souad At Salem (-Mahour-Bacha),F,Athletics
1570,Ali Akacha,M,Handball
2712,Mohamed Sid Ali Djouadi,M,Athletics
2788,Ikhlef Ahmed Hadj Allah,M,Boxing
2794,Mohamed Allalou,M,Boxing
3299,Mourad Sedegh Amara,M,Football
3418,Mohamed Ameur,M,Athletics
3534,Rafik Amrane,M,Rowing
4661,Redouane Aouachria,M,Handball
4664,Moussa Aouanouk,M,Athletics
5673,Salah Assad,M,Football
5689,Sonia Asselah,F,Judo
5695,Mehdi Assous,M,Boxing
6362,Mohamed Azzaoui,M,Boxing
6364,Omar Azzeb,M,Handball
6369,Yasmina Azzizi (-Kettab),F,Athletics
6372,Hassane Azzoun,M,Judo
6373,Mohamed Azzedine Azzouzi,M,Athletics
6412,Lahcen Babaci,M,Athletics
6781,Nasria Baghdad-Azadj,F,Athletics
6815,Mohamed Bahari,M,Boxing
7051,Ali Bakhta,M,Athletics
7058,Abdel Atif Bakir,M,Handball
8410,Azzedine Basbas,M,Weightlifting
9377,Ben Ali Beghouach,M,Handball
9510,Noureddine Bekkouche,M,Weightlifting
9518,Boualem Bel Alouane,M,Boxing
9519,Assa Bel Aout,M,Athletics
9526,Djaffar Bel Hocine,M,Handball
9528,Ahmed Bel Kessam,M,Athletics
9529,Hadj Bel Kheir,M,Boxing
9531,Katia Belabbas,F,Sailing
9532,Mohamed Khaled Belabbas,M,Athletics
9588,Othmane Mustapha Belfaa,M,Athletics
9589,Mohammed El-Amine Belferar,M,Athletics
9593,Sami Belgroun,M,Judo
9596,Sad Belhout,M,Athletics
9618,Haris Belkebla,M,Football
9662,Abderzak Bella,M,Swimming
9735,Lakhdar Belloumi,M,Football
9867,Djillali Ben Brahim,M,Judo
9870,Reda Ben Chehima,M,Fencing
9876,Mazouz Ben Djedaa,M,Wrestling
9877,Abdel Krim Ben Djemil,M,Handball
9882,Mohamed Ben Guesmia,M,Boxing
